Category,Total Historical Sales,Predicted Demand,Expected Growth %,Forecast Period,Generated At
Clothes,15,450,2900.0,NEXT_30_DAYS,2026-08-04 06:59:38.072645
Electronics,7,135,1828.57,NEXT_30_DAYS,2026-08-04 06:59:38.145154
